response_id,duration_ms,memory_utilization_percentage,total_memory,cpu_total_time_ms,total_network_bytes,billed_mb_ms,invoke_cost_gb_per_second,cold_start,@ptr,init_duration_ms
1d5a6082-b83f-47bd-9fc1-dd8cf8dc8d0b,13907,19,1024,5090,139333,14241792,14.2418,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpvAIIABkMtN0AAAAKSIAEo9JWptPYwMKu0rbT2MDgKQL5WSLk9UOsnGAAQBBgB,
302a3cd4-779a-4fc9-8463-bc5b450f664b,4627,19,1024,1710,66033,4739072,4.7391,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpvAIIABkMtN0AAAAKSIAEo9JWptPYwMKu0rbT2MDgKQL5WSLk9UOsnGAAQAxgB,
b8f826e1-61f6-4acf-acbf-fe8933092c1b,11032,18,1024,3650,135738,11297792,11.2978,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpvAIIABkMtN0AAAAKSIAEo9JWptPYwMKu0rbT2MDgKQL5WSLk9UOsnGAAQAhgB,
6555726d-b923-44eb-ad2a-198a1b831d6f,10967,19,1024,3840,136021,11231232,11.2312,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuMU50ABkMtN/AAAAKyIAEo3vWotPYwMN6xrbT2MDgLQLheSIk7UPomGAAQBRgB,
9941d063-7a92-4c1b-81fd-919234f6981f,10866,19,1024,3900,138479,11127808,11.1278,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAISNRoYAgY90g6xAAAAAptqKaQABkMtMuAAAAcSIAEogreltPYwMMfNq7T2MDgLQIJfSPU9UKcoGAAQBBgB,
682b85d2-802e-4b29-a1a2-31ecd08d104a,11058,19,1024,4140,139524,11324416,11.3244,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAYSNRoYAgYiag15AAAAAjOmid8ABkMtMiAAAAWSIAEo6Y2ptPYwMPnbqbT2MDgEQL0iSIUsUPcXGAAQAxgB,
5a642dc3-393b-48ec-bf4d-28f28d00ee2e,4677,19,1024,1680,53876,4790272,4.7903,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuMU50ABkMtN/AAAAKyIAEo3vWotPYwMN6xrbT2MDgLQLheSIk7UPomGAAQBBgB,
af84228e-da89-42ef-b9cc-af89be7c1aed,10918,19,1024,3840,140250,11181056,11.1811,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAYSNRoYAgYiag15AAAAAjOmid8ABkMtMiAAAAWSIAEo6Y2ptPYwMPnbqbT2MDgEQL0iSIUsUPcXGAAQAhgB,
8e1e64b9-64e4-447b-9955-97181078a397,4587,15,1024,1690,62088,4698112,4.6981,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAISNRoYAgY90g6xAAAAAptqKaQABkMtMuAAAAcSIAEogreltPYwMMfNq7T2MDgLQIJfSPU9UKcoGAAQAxgB,
a9e2bf6d-0fe3-4122-a746-9a69d560ff15,4764,19,1024,1810,65716,4879360,4.8794,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAASNRoYAgZCxV47AAAAABuMU50ABkMtN/AAAAKyIAEo3vWotPYwMN6xrbT2MDgLQLheSIk7UPomGAAQAxgB,
34af34f9-a237-433a-a528-711af351732f,2173,19,1024,1040,201476,2226176,2.2262,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAESNRoYAgXzn9uEAAAABDiBbhkABkMtMIAAAAJCIAEoiK+ltPYwMLWyqbT2MDgEQLAiSNYrUMkXGAAQAxgB,
65071acd-a071-4353-9f88-b6b96ef32300,6132,19,1024,2160,65461,6280192,6.2802,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAYSNRoYAgYiag15AAAAAjOmid8ABkMtMiAAAAWSIAEo6Y2ptPYwMPnbqbT2MDgEQL0iSIUsUPcXGAAQARgB,
85f6c110-64dc-4ec0-9c0e-263250ca69af,2348,19,1024,1150,201231,2405376,2.4054,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEAMYAQ==,
8fb5f064-6765-449c-8fbb-77c5e1130b05,10929,19,1024,3950,138447,11192320,11.1923,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpvAIIABkMtN0AAAAKSIAEo9JWptPYwMKu0rbT2MDgKQL5WSLk9UOsnGAAQARgB,
f5ddff07-98ed-4589-baa1-e6ef7ecd5813,10653,15,1024,3710,139327,10909696,10.9097,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAMSNRoYAgY0Q+tJAAAABDpvAIIABkMtN0AAAAKSIAEo9JWptPYwMKu0rbT2MDgKQL5WSLk9UOsnGAAQABgB,
e9397923-0b39-4765-adb5-99b0321d0d63,10609,18,1024,3460,139463,10864640,10.8646,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEAIYAQ==,
0b8c27d9-fb7c-44e3-bcd3-ea9aa1445ccd,11050,19,1024,3900,139420,11316224,11.3162,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAYSNRoYAgYiag15AAAAAjOmid8ABkMtMiAAAAWSIAEo6Y2ptPYwMPnbqbT2MDgEQL0iSIUsUPcXGAAQABgB,
3bf084cf-903c-48fd-ae52-158809b5998e,10986,18,1024,4000,150055,11250688,11.2507,0,CmEKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAcSNhoYAgZASn6JAAAAAJ/V6zYABkMtN1AAAACSIAEo1YGptPYwMPe6r7T2MDgTQJ+jAUjaSVDKNRgAEAEYAQ==,
3e5abaeb-a0b2-413d-a6ce-e82d416aa911,2259,19,1024,1120,194896,2314240,2.3142,0,CmAKJQohNzk3NzcwNjE4NjQ0Oi9hd3MvbGFtYmRhLWluc2lnaHRzEAESNRoYAgXzn9uEAAAABDiBbhkABkMtMIAAAAJCIAEoiK+ltPYwMLWyqbT2MDgEQLAiSNYrUMkXGAAQAhgB,
